termo,Iron Maiden,Killers,The Number of the Beast,Piece of Mind,Powerslave,Somewhere in Time,Seventh Son of a Seventh Son,No Prayer for the Dying,Fear of the Dark,The X Factor,Virtual XI,Brave New World,Dance of Death,A Matter of Life and Death,The Final Frontier,The Book of Souls,Senjutsu
stay,0,0,0,1,1,0,1,1,0,0,0,4,0,0,4,0,0
storm,0,0,0,1,0,0,0,0,0,1,2,0,0,1,5,6,4
strength,0,0,0,1,0,0,2,0,0,1,0,0,2,0,1,1,2
strong,0,0,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0
sweat,0,0,0,1,1,0,2,1,2,1,1,0,0,0,0,1,0
valley,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,4,0
vision,0,0,0,1,0,0,6,0,1,1,0,1,0,0,2,0,0
warrior,0,0,0,1,0,0,0,1,10,1,0,0,0,2,0,0,2
win,0,0,0,1,2,2,2,0,0,0,3,1,1,0,0,1,2
sail,0,0,0,0,6,1,0,0,1,0,0,4,0,2,11,8,0
slave,0,0,0,0,5,0,0,1,0,0,0,0,3,0,0,1,1
anymor,0,0,0,0,3,0,1,0,2,3,2,0,0,0,0,0,0
demon,0,0,0,0,3,0,2,0,0,0,0,8,1,2,4,3,0
fortun,0,0,0,0,3,0,2,0,0,3,0,0,0,0,2,1,2
answer,0,0,0,0,2,1,0,5,2,1,2,1,0,2,2,0,1
burden,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1
chanc,0,0,0,0,2,0,1,0,0,2,1,3,12,2,7,6,0
heart,0,0,0,0,2,8,0,2,2,3,1,8,6,1,2,5,2
moon,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,5,2
play,0,0,0,0,2,0,15,1,1,0,2,2,3,2,4,2,1
question,0,0,0,0,2,0,0,1,0,5,0,0,2,0,0,4,0
throw,0,0,0,0,2,2,0,0,0,1,0,1,0,1,2,1,0
angel,0,0,0,0,1,1,2,0,0,1,2,1,4,2,8,3,3
belong,0,0,0,0,1,1,0,0,1,0,4,1,0,0,0,3,0
bless,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,1
carri,0,0,0,0,1,0,0,0,0,1,0,3,2,0,1,1,0
chang,0,0,0,0,1,0,0,0,1,3,1,1,7,2,2,2,2
choos,0,0,0,0,1,1,0,1,0,0,0,2,2,0,5,0,0
dog,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
final,0,0,0,0,1,1,0,2,0,1,0,1,0,6,8,0,0
finger,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
follow,0,0,0,0,1,1,0,0,0,0,4,1,2,0,1,4,7
gate,0,0,0,0,1,0,0,0,1,0,1,1,20,2,0,0,2
ghost,0,0,0,0,1,0,0,1,0,0,0,3,0,2,1,1,1
hous,0,0,0,0,1,0,0,1,0,1,0,1,0,0,4,0,0
littl,0,0,0,0,1,0,0,0,4,2,2,0,0,5,4,0,2
machin,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
master,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0
none,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2
ocean,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,1,2
silenc,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
silence,0,0,0,0,1,0,1,4,2,2,1,37,1,1,0,1,1
sin,0,0,0,0,1,1,4,7,0,4,0,0,1,8,2,4,5
son,0,0,0,0,1,2,23,1,0,0,0,3,0,2,0,3,4
soon,0,0,0,0,1,0,3,1,0,0,0,0,2,0,0,2,1
stori,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1
straight,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,3,0
tide,0,0,0,0,1,0,0,1,2,1,0,0,0,2,7,1,1
we'r,0,0,0,0,1,0,0,0,0,1,0,17,2,0,4,2,0
we'v,0,0,0,0,1,0,0,0,0,4,1,1,0,0,2,0,3
wish,0,0,0,0,1,1,0,0,0,1,0,0,3,0,3,0,2
somewher,0,0,0,0,0,6,0,0,1,1,0,0,0,5,0,1,1
year,0,0,0,0,0,6,0,2,3,1,4,0,3,0,3,0,2
heaven,0,0,0,0,0,5,3,0,2,3,1,0,0,5,0,2,3
river,0,0,0,0,0,5,0,0,0,1,0,1,0,0,2,2,0
etern,0,0,0,0,0,3,0,0,3,1,0,2,0,4,2,19,0
strange,0,0,0,0,0,3,0,0,3,0,3,0,0,1,2,1,0
field,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1
glori,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,16,9
lose,0,0,0,0,0,2,0,1,0,2,0,4,0,0,7,0,0
ahead,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,2,0
becom,0,0,0,0,0,1,0,1,0,5,0,0,0,1,1,1,2
cloth,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
fill,0,0,0,0,0,1,0,0,1,0,0,0,2,1,2,1,0
full,0,0,0,0,0,1,0,0,8,0,0,1,0,1,3,5,1
immort,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,7
mysteri,0,0,0,0,0,1,1,0,0,0,0,6,0,4,2,1,0
track,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2
wake,0,0,0,0,0,1,2,0,0,3,1,0,2,0,0,2,0
edg,0,0,0,0,0,0,7,0,0,2,0,1,0,2,2,13,3
fate,0,0,0,0,0,0,3,0,0,2,0,2,0,2,0,7,0
sleep,0,0,0,0,0,0,3,3,1,2,1,0,3,1,0,0,1
desir,0,0,0,0,0,0,2,0,0,0,3,0,0,0,4,3,1
sens,0,0,0,0,0,0,2,0,2,1,0,1,0,1,0,2,0
brother,0,0,0,0,0,0,1,0,2,1,0,17,0,0,0,2,0
exist,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1
forgiv,0,0,0,0,0,0,1,0,1,1,0,0,1,0,3,0,0
goodby,0,0,0,0,0,0,1,1,0,0,0,2,1,0,5,0,0
mine,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0
solo,0,0,0,0,0,0,1,0,1,1,0,0,1,3,3,0,0
suffer,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0
trust,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,2
whole,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
prayer,0,0,0,0,0,0,0,4,0,2,1,1,2,1,1,0,1
cross,0,0,0,0,0,0,0,2,0,5,0,0,3,2,0,0,3
fast,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,1,0
anger,0,0,0,0,0,0,0,1,1,2,2,0,1,1,0,1,4
road,0,0,0,0,0,0,0,1,4,0,0,2,3,0,1,3,1
everyth,0,0,0,0,0,0,0,0,3,0,1,1,1,0,2,0,0
chain,0,0,0,0,0,0,0,0,2,0,1,1,0,1,3,1,0
sunris,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,1
journey,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,2,0
nation,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,2
lifetim,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
mirror,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,1
