Song,Composers,Time,Seconds,Album,Fase,Lyrics,Harris,Dickinson,Murray,Smith,Gers,Di'Anno,Bayley,McBrain,Burr
The Loneliness of the Long Distance Runner,Harris,6:31,391,Somewhere in Time,2,"( harri ) tough of the track , with the wind , and the rain that beat down on your back . your heart beat loud and goe on get louder and goe on even more till the sound is ring in your head , with everi step you tread , and everi breath you take , determin make you run , never stop , gotta win , gotta run till you drop , keep the pace , hold the race , your mind is get clearer , you'r over halfway there but the mile just never seem to end as if you'r in a dream , not get anywher . it seem so futil . chorus : run , on and on , run , on and on , the loneli of the long distanc runner . i'v got to keep run the cours , i'v got to keep run and win at all cost , i'v got to keep go , be strong , must be so determin and push myself on . run over stile , across field , turn to look at who on your heel , way ahead of the field , the line is get nearer but do you want the glori that goe , you reach the final stretch , ideal are just a trace , you feel like throw the race , it all so futil . chorus : run , on and on , run , on and on , the loneli of the long distanc runner .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Stranger in a Strange Land,Smith,5:43,343,Somewhere in Time,2,"was mani year ago that i left home and came this way , i was a young man full of hope and dream , but now it seem to me that all is lost and noth gain , sometim thing ain't what they seem , no brave new world , no brave new world , no brave new world , no brave new world . night and day i scan horizon , sea and sky , my spirit wander endless , until the day will dawn and friend from home discov whi , hear me call , rescu me , set me free , set me free , lost in this place and leav no trace . ( chorus : ) stranger in a strang land , land of ice and snow , trap here in this prison , yeah ! lost and far from home . one hundr year have gone and men again they came that way , to find the answer to the mysteri , they found his bodi lie where it fell on that day , preserv in time for all to see , no brave new world , no brave new world , lost in this place , and leav no trace . what becam of the men that start all are gone and theirsoul depart left me here in this place so all alon ( chorus : ) stranger in a strang land , land of ice and snow , trap here in this prison , yeah ! lost and far from home .",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Deja-Vu,"Murray, Harris",4:55,295,Somewhere in Time,2,"when you see familiar face , but you don't rememb where they'r from , could you be wrong ? when you'v been particular place , that you know you'v never been befor , can you be sure ? ' caus you know this has happen befor , and you know that this moment in time is for real , and you know when you feel deja vu . ( chorus : ) feel like i'v been here befor , feel like i'v been here befor . ever had a convers , that you realis you'v had befor , isn't it strang ? have you ever talk to someon , and you feel you know what come next ? it feel pre-arrang . ' caus you know that you'v heard it befor , and you feel that this moment in time is surreal , ' caus you know when you feel deja-vu .",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Alexander the Great,Harris,8:35,515,Somewhere in Time,2,""" my son , ask for thyself anoth kingdom , for that which i leav is to small for thee . "" near to the east , in a part of ancient greec , in an ancient land call macedonia , was born a son to philip of macedon , the legend his name was alexand . at the age of nineteen , he becam the macedon king , and swore to free all of asia minor , by the aegian sea in 334 bc , he utter beat the armi of persia . chorus : alexand the great , his name struck fear into heart of men , alexand the great , becam a legend ' mongst mortal men . king darius the third , defeat fled persia , the scythian fell by the river jaxart , then egypt fell to the macedon king as well , and he found the citi call alexandria . by the tigri river , he met king darius again , and crush him again in the battl of arbela , enter babylon and susa , treasur he found , took persepoli , the capit of persia . chorus : alexand the great , his name struck fear into heart of men , alexand the great , becam a god amongst mortal men . a phrygian king had bound a chariot yoke , and alexand cut the "" gordion knot "" , and legend said that who unti the knot , he would becom the master of asia . helon he spread far and wide , the macedonian learn mind , their cultur was a western way of life , he pave the way for christian . march on , march on . the battl weari march side by side , alexand armi line by line , they wouldn't follow him to india , tire of the combat , pain and the glori . chorus : alexand the great , his name struck fear into heart of men , alexand the great , he die of fever in babylon .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Moonchild,"Smith, Dickinson",5:38,338,Seventh Son of a Seventh Son,2,"seven dead sin seven way to win seven holi path to hell and your trip begin seven downward slope seven bloodi hope seven are your burn fire seven your desir i am he the bornless one the fallen angel watch you babylon , the scarlet whore i'll infiltr your gratitud don't you dare to save your son kill him now and save the young one be the mother of a birth strangl babe be the devil own , lucif my name moonchild - hear the mandrak scream moonchild - open the seventh seal moonchild - you'll be mine soon child moonchild - take my hand tonight i count the head of those unborn the accurs one i'll find them all and if you die by your own hand as a suicid you shall be damn and if you tri to save your soul i will torment you - you shall not grow old with everi second and pass breath you'll be so alon your soul will bleed to death the twin they are exhaust , seven is this night gemini is rise as the red lip kiss to bite seven angel seven demon battl for his soul when gabriel lie sleep , this child was born to die one more die one more live one babi cri one mother griev for all the sin you will commit you'll beg forgiv and none i'll give a web of fear shall be your coat to cloth you in the night a lucki escap for you young man but i'll see you damn in endless night",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Infinite Dreams,Harris,6:08,368,Seventh Son of a Seventh Son,2,"infinit dream i can't deni them infin is hard to comprehend i couldn't hear those scream even in my wildest dream suffoc wake in a sweat scare to fall asleep again incas the dream begin again someon chase i cannot move stand rigid nightmar statu what a dream when will it end and will i transcend ? restless sleep the mind in turmoil one nightmar end anoth fertil get to me so scare to sleep but scare to wake now , in too deep even though it reach new height i rather like the restless night it make me wonder it make me think there more to this i'm on the brink it not the fear of what beyond it just that i might not respond i have an interest almost crave but would i like to get too far in ? it can't be all coincid too mani thing are evid you tell me you'r an unbeliev spiritualist ? well me i'm neither but wouldn't you like to know the truth of what out there to have the proof and find out just which side you'r on where would you end in heaven or in hell ? help me . help me to find my true self without see the futur save me , save me from tortur myself even within my dream there got to be just more to it than this or tell me whi do we exist i'd like to think that when i die i'd get a chanc anoth time and to return and live again reincarn , play the game again and again and again",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Can I Play with Madness,"Smith, Dickinson, Harris",3:30,210,Seventh Son of a Seventh Son,2,"can i play with mad give me the sens to wonder , to wonder if i'm free . give me the sens to wonder , to know i can be me . give me the strength , to hold my head up , spit back in their face . don't need no key , to unlock this door , gonna break down the wall , break out of this bad place . can i play with mad ? the prophet stare at his crystal ball , can i play with mad ? there no vision there at all . can i play with mad ? the prophet look and he laugh at me ! can i play with mad ? he said you'r blind , too blind to see ! i scream aloud to the old man , i said don't lie , don't say you don't know ! i say you'll pay for your mischief , in this world , or the next ! oh then he fix me with a freez glanc , and the hellfir rage in his eye , he said do you want to know the truth son ? i'll tell you the truth ! your soul ' gonna burn , in a lake of fire ! can i play with mad ? the prophet stare at his crystal ball , can i play with mad ? there no vision there at all . can i play with mad ? the prophet look and he laugh at me ! can i play with mad ? he said you'r blind , too blind to see ! can i play with mad ? the prophet stare at his crystal ball , can i play with mad ? there no vision there at all . can i play with mad ? the prophet look and he laugh at me ! can i play with mad ? he said you'r blind , too blind to see !",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
The Evil That Men Do,"Smith, Dickinson, Harris",4:33,273,Seventh Son of a Seventh Son,2,"love is a razor , and i walk the line on that silver blade slept in the dust with his daughter her eye red with the slaughter of innoc and i will pray for her i will call her name out loud i would bleed for her if i could onli see her now live on a razor edg balanc on the ledg live on a razor edg balanc on the ledg balanc on the ledg live on a razor edg balanc on the ledg you know , you know the evil that men do live on and on . . . the evil that men do live on and on . . . the evil that men do live on and on . . . the evil that men do live on and on . . . circl of fire , my baptism of joy at an end it seem the seventh lamb slain the book of life open befor me and i will pray for you some day i may return don't you cri for me beyond is where i learn live on a razor edg balanc on the ledg live on a razor edg you know , you know the evil that men do live on and on . . . the evil that men do live on and on . . . the evil that men do live on and on . . . the evil that men do live on and on . . . * solo * live on a razor edg balanc on the ledg live on a razor edg you know , you know the evil that men do live on and on . . . the evil that men do live on and on . . . the evil that men do live on and on . . . the evil that men do live on and on . . . the evil the evil the evil that men do the evil the evil the evil that men do",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Seventh Son of a Seventh Son,Harris,9:52,592,Seventh Son of a Seventh Son,2,"here they stand , brother them all all the son , divid they'd fall here await the birth of the son the seventh , the heaven , the chosen one here the birth from an unbroken line born the healer , the seventh , his time unknow bless and as his life unfold slowli unveil the power he hold seventh son of a seventh son seventh son of a seventh son seventh son of a seventh son seventh son of a seventh son then they watch the progress he make the good and evil which path will he take both of them tri to manipul the use of his power , befor it too late seventh son of a seventh son seventh son of a seventh son seventh son of a seventh son seventh son of a seventh son today is born the seventh one born of woman the seventh son and he in turn of a seventh son he has the power to heal he has the gift of the second sight he is the chosen one so it shall be written so it shall be done",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Prophecy,"Murray, Harris",5:04,304,Seventh Son of a Seventh Son,2,now that i know that the right time has come my predict will sure be true the impend disast it loom and the whole of the villag is doom whi won't you listen to me it is so hard to understand that i am the real seventh son your life or death on me depend suffer and pain impend disast soul cri the devil laughter heard the cri of the seven whistler lucif smile look on and wait i'll take your life in my hand your fate your fortun in my vision heed what i say and you'll see what will be pleas listen to me now that they see the disast is done now they put all the blame unto me they feel i brought on a curs don't they know that the torment it stay with me know that i walk alon through the eye of the futur i see they don't even know what fear is don't they know i'm the one who is curs purgatori beckon soul lost forev life after death or heaven hereaft heard the call of the seven whistler again now lucif laugh hell await i had their live in my hand their fate their fortun in my vision no one believ in my true propheci and now it too late,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Clairvoyant,Harris,4:26,266,Seventh Son of a Seventh Son,2,"feel the sweat break on my brow is it me or is it shadow that are danc on the wall . is this a dream or is it now is this a vision or normal i see befor my eye . i wonder whi , i wonder how that it seem that the power is get stronger everi day i feel a strength an inner fire but i'm scare i won't be abl to control it anymor there a time to live and a time to die when it time to meet the maker there a time to live but isn't it strang that as soon as you'r born you'r die . just by look through your eye he could see the futur penetr right in through you mind see the truth and see your lie but for all his power couldn't forese his own demis there a time to live and a time to die when it time to meet the maker there a time to live but isn't it strang that as soon as you'r born you'r die . . . . . . and be reborn again ?",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Only the Good Die Young,"Harris, Dickinson",4:40,280,Seventh Son of a Seventh Son,2,"the demon in your mind will rape you in your bed at night the wisdom of age , the lie and outrag conceal time it wait for no man my futur it is reveal time it wait for no man my fate is seal if i cancel tomorrow the undead will thank me today fli in the face of your prophet i mock your moral play the moon is red and bleed the sun is burn and black the book of life is silent no turn back onli the good die young all the evil seem to live forev onli the good die young all the evil seem to live forev onli the good die young onli the good die young mysteri madman a victim of cruel charad some innoc pawn in an end game one more stalem is death anoth birthday ? a way to kiss your dream goodby ? do the undead live within us and look through our eye ? walk on water are miracl all you can trust measur your coffin doe it measur up to your lust ? so i think i'll leav you with your bishop and your guilt so until the next time have a good sin seven dead sin seven way to win seven holi path to hell seven downward slope seven bloodi hope seven are your burn fire seven your desir . . .",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tailgunner,"Harris, Dickinson",4:13,253,No Prayer for the Dying,3,trace your way back 50 year to the glow of dresden - blood and tear in the black abov by the cruel searchlight men will die and men will fight - yeah who shot who and who fire first ? drip death to whet the bloodthirst no radar lock on - skin and bone the bomber boy are go home ( chorus ) climb into the sky never wonder whi - tailgunn you'r a tailgunn ( 2x ) nail that fokker kill that son . gonna blow your gut out with my gun the weather forecast good for war cologn and frankfurt ? have some more tail end charli in the boil sky the enola gay was my last tri now that this tailgunn gone no more bomber ( just one big bomb ) ( chorus ),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy Smoke,"Harris, Dickinson",3:47,227,No Prayer for the Dying,3,"believ in me - send no money i die on the cross , and that ain't funni but my so call friend they'r make me a joke they miss out what i said like i never spoke they choos what they wanna hear - they don't tell a lie they just leav out the truth as they'r watch you die save your soul by take your money fli around shit , bee around honey holi smoke , holi smoke , plenti bad preacher for the devil to stoke feed ' em in feet first this is no joke this is thirsti work make holi smoke jimmi reptil and all his friend say they gonna be with you at the end burn record , burn book holi soldier , nazi look crocodil smile , just wait awhil till the tv queen get her make up clean i'v live in filth , i'v live in sin and i still smell cleaner than the shit you'r in holi smoke , holi smoke , this plenti bad preacher for the devil to stoke feed ' em in feet first this is no joke this is thirsti work make holi smoke they ain't religi but they ain't no fool when noah built his cadillac it was cool two by two they'r still go down and the satellit circus just left town i think they'r strang and when they'r dead they can have a lincoln for their bed friend of the presid - trick of the tail now they ain't got a prayer - 100 year in jail holi smoke , holi smoke , plenti bad preacher for the devil to stoke feed ' em in feet first this is no joke this is thirsti work make holi smoke",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
No Prayer for the Dying,Harris,4:22,262,No Prayer for the Dying,3,there are time when i'v wonder and time when i'v cri when my prayer they were answer at time when i'v lie but if you ask me a question would i tell you the truth now there someth to bet on you'v got noth to lose when i'v sat by the window and gaze at the rain with an ach in my heart but never feel the pain if you would tell me just what my life mean walk in a long road never reach the end god give me the answer to my life god give me the answer to my dream god give me the answer to my prayer god give me the answer to my be,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Public Enema Number One,"Murray, Dickinson",4:03,243,No Prayer for the Dying,3,( murray / dickinson ) when it all come down the line and the light they turn to greed and you race off with your tyre scream roll thunder and the peopl choke with poison children cri in fear but you'v got your fast bullet one way ticket outta here chorus fall on your knee today and pray the world will mend it way get to your feet again refuge from the heartbreak and the pain in the citi in the street there a tension you can feel break strain is fast approach gun and riot politician gambl and lie to save their skin and the press get fed the scapegoat public enema number one chorus a million network slave in an advertis new age i don't need a crystal ball to sell ya your children have more brain than your drug infest remain california dream as the earth die scream chorus,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fates Warning,"Murray, Harris",4:09,249,No Prayer for the Dying,3,"( murray / harri ) whi is it some of us are destin to stay aliv and some of us are here just so that we'll die how come the bullet hit the other guy do we have to tri and reason whi chorus be it the devil or be it him you can count on just one thing when the time is up you'll know not just one power run the show are we the lucki one save for anoth day or they the lucki one who are taken away is it a hand on your shoulder from the lord abov or the devil himself come to give you a shove chorus a volcano erupt and sweep a town away a hurrican devast the citi in it way the grief and miseri for the one that are left behind the worst is yet to come , a hell to face mankind",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Assassin,Harris,4:16,256,No Prayer for the Dying,3,"( harri ) now the contract out they'v put the word about i'm come after you it not the money i make it the thrill of the chase and i'm come after you i watch your everi move studi the thing you do and the pattern of your way i watch the way you walk i hear your telephon talk i want to understand the way you think better watch out , cuz i'm the assassin , better watch out , better watch out i'm in a cold cold sweat i tast the smell of death i know the moment get closer and as you walk to the light i feel my hand go tight excit run through my vein i'v got you in my sight i'v got you dead to right the trigger wait for my finger i feel adrenalin rush it just the final touch you can kiss your ars goodby chorus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Run Silent Run Deep,"Harris, Dickinson",4:34,274,No Prayer for the Dying,3,"the convoy light are dead ahead the merchantmen lay in their bed the thump of diesel hammer down in the oili sea-th kill ground his knuckl white his eye alight he slam the hatch on the dead night a cun fox in the chicken lair a hound of hell and the devil don't care ( chorus : ) run silent , run deep , we are your final prayer warrior in secret sleep , a merchantman nightmar a silent death lie wait , for all of you below run silent , run deep , sink into your silent sleep chill the heart of fight men in open ocean wonder when ? the lethal silver fish will fli the boat will shiver - men will die a cast of million - a part to play killer ? victim ? or fool for a day obey an order - men have to die us or them - a well rehears lie ( chorus ) the lifeboat shatter the hull is torn the tar black smell of burn oil on the way down to davi jone everi man for himself - you'r on your own the wolf eye watch the crosswir ' stern tube readi ' , ' aim and fire ' they can pin some medal on your chest but in two more week - dead like the rest ( chorus )",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hooks in You,"Dickinson, Smith",4:06,246,No Prayer for the Dying,3,"i got the key to view at number 22 behind my green door there noth to see is that a creatur ? what kind of creatur would hang around wait for a guy like me stone cold sober , sit in silenc , laid back look for symphati i like a girl who know where she bound i don't like girl who'v been hang around hook in you , hook in me , hook in the ceil for that well hung feel no big deal , no big sin , strung up on love i got the hook screw in hook in you , hook in me , hook in the ceil for that well hung feel no big deal , no big sin , strung up on love i got the hook screw in she tie up she can't come to the phone you must have got your wire cross she ain't home knock on wood - you know i like that sound she never could keep her feet on the ground hook in you , hook in me , hook in the ceil for that well hung feel no big deal , no big sin , strung up on love i got the hook screw in hook in you , hook in me , hook in the ceil for that well hung feel no big deal , no big sin , strung up on love i got the hook screw in hook in you , i'v got those hook in you hook in you , in you hook in you , i'v got those hook in you hook in you , in you oh yeah yeah yeah yeah yeah yeah yow ! right on the money got it wrap up tight got new idea for the decor tonight make this hous a preserv zone gonna set her in concret set her up on her own hook in you , hook in me , hook in the ceil for that well hung feel no big deal , no big sin , strung up on love i got the hook screw in hook in you , hook in me , hook in the ceil for that well hung feel no big deal , no big sin , strung up on love i got the hook screw in hook in you , i'v got those hook in you hook in you hook in you , i'v got those hook in you hook in you , i'v got those hook in you",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bring Your Daughter... to the Slaughter,Dickinson,4:42,282,No Prayer for the Dying,3,"honey it get close to midnight and all the myth are still in town true love and lipstick on your linen bite the pillow make no sound if there some live to be done befor your life becom your tomb you'd better know that i'm the one so unchain your back door invit me around [ chorus ] bring your daughter , bring your daughter to the slaughter let her go , let her go , let her go honey it get close to daybreak the sun is creep in the sky no patent remedi for heartach just empti word and humbl pie so get down on your knee honey assum an attitud you just pray that i'll be wait cos you know i'm come soon so pick up your foolish pride , no go back no where , no way , no place to hide",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mother Russia,Harris,5:30,330,No Prayer for the Dying,3,mother russia how are you sleep middl winter cold wind blow from the tree the snowflak drift swirl round like ghost in the snow mother russia poetri majest tell the time of a great empir turn round the old man ponder reminisc an age gone by mother russia danc of the tsar hold up your head be proud of what you are now it has come freedom at last turn the tide of histori and your past mother russia danc of the tsar hold up your head rememb who you are can you releas the anger the grief can you be happi now your peopl are free,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Be Quick or Be Dead,"Dickinson, Gers",3:21,201,Fear of the Dark,3,cover in sinner and drip with guilt make you money from slime and from filth . parad your belli in ivori tower invest our live in your scheme and your power . you got to watch them - be quick or be dead snake eye in heaven - the thief in your head . you'v got to watch them - be quick or be dead snake eye in heaven - the thief in your head . be quick or be dead - be quick or be dead ( see . . . what rule all our live see . . . who pull the string . . . 2x ) i bet you won't fall on your face . . . your belli will hold you in place . the serpent is crawl insid of your ear he say you must vote for what you want to hear . don't matter what wrong as long as you'r alright so pull yourself stupid and rob yourself blind .,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
From Here to Eternity,Harris,3:35,215,Fear of the Dark,3,she fell in love with his greasi machin she lean over wipe his kickstart clean she'd never seen the beast befor but she left there want more more more but when she was walk on down the road she heard a sound that made her heart explod he whisper to her to get on the back i'll take you on a ride from here to etern hell ain't a bad place hell is from here to etern she must be have one of her crazi dream she'd never sat on a piec so mean it made her feel like she on cloud nine she even thought she heard the engin sigh but like all dream that come to an end they took a tumbl at the devil bend the beast and charlott they were two of a kind they'd alway take the line from here to etern,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Afraid to Shoot Strangers,Harris,6:52,412,Fear of the Dark,3,"lie awak at night i wipe the sweat from my brow but it not the fear ' cos i'd rather go now tri to visual the horror that will lay ahead the desert sand mound a burial ground when it come to the time are we partner in crime ? when it come to the time we'll be readi to die god let us go now and finish what to be done thi kingdom come thi shall be done . . . on earth tri to justifi to ourselv the reason to go should we live and let live forget or forgiv but how can we let them go on this way ? the reign of terror corrupt must end and we know deep down there no other way no trust , no reason , no more to say afraid to shoot stranger afraid to shoot stranger",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Fear Is the Key,"Dickinson, Gers",5:30,330,Fear of the Dark,3,"we live our live in fever in a choke sweat of fear in the heat of the night you can feel so much in the heat of the night i scream "" don't touch ! "" i rememb a time when we use and abus and fought all our battl in vain i rememb a time we thought that passion was free in the heat of the night . . . bodi aflam i hear your secret heartbeat i can hear your silent cri the kid have lost their freedom and nobodi care till somebodi famous die . . . i rememb a time when we use and abus and fought all our battl in vain i rememb a time we thought that passion was free in the heat of the night . . . bodi aflam now we live , in a world of uncertainti fear is the key - to what you want to be you don't get a say the major get it way you'r outnumb by the bastard till the day you die . . . * solo * i hear your secret heartbeat i can hear your silent cri the kid have lost their freedom and nobodi care till somebodi famous die . . . i rememb a time when we use and abus and fought all our battl in vain i rememb a time we thought that passion was free . . . now we live , in a world of uncertainti fear is the key - to what you want to be you don't get a say the major get it way you'r outnumb by the bastard till the day you die . . .",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Childhood's End,Harris,4:37,277,Fear of the Dark,3,"i'd sail across the ocean i'd walk a hundr mile if i could make it to the end oh just to see a smile you see it in their face the sad in their tear the desper and the anger mad and the fear no hope , no life , just pain and fear no food , no love , just greed is here starvat and the hunger the suffer and the pain the agoni of all-out war when will it come again ? the struggl for the power a tyrant tri again just what the hell is go on ? when will it ever end ? no hope , no life , just pain and fear no food , no love , just greed is here you see the full moon float you watch the red sun rise we take these thing for grant but somewher someon die contamin water pollut and decay just wait for diseas to strike will we learn someday ? no hope , no life , just pain and fear no food , no love , no seed . . . childhood end !",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Wasting Love,"Dickinson, Gers",5:46,346,Fear of the Dark,3,"mayb one day i'll be an honest man up to now i'm do the best i can long road , long day , of sunris , to sunset sunris to sunset dream on brother , while you can dream on sister , i hope you find the one all of our live , cover up quick by the tide of time spend your day full of empti spend your year full of loneli wast love , in a desper caress roll shadow of night dream on brother , while you can dream on sister , i hope you find the one all of our live , cover up quick by the tide of time sand are flow and the line are in your hand in your eye i see the hunger , and the desper cri that tear the night spend your day full of empti spend your year full of loneli wast love , in a desper caress roll shadow of night ( 2x ) spend your day full of empti spend your year full of loneli wast love , in a desper caress roll shadow of night",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
The Fugitive,Harris,4:52,292,Fear of the Dark,3,"on a cold octob morn as frost lay on the ground wait to make my move i made no sound wait for the mist to cover all around i care pick my time then took the wall i ? m sick and tire of run the hunger and the pain a stop to look about then off again be at the wrong place and at the wrong time suspect of a hit , that was my crime i am a fugit , be hunt down like game i am a fugit , but i ? ve got to clear my name i am a fugit , be hunt down like game i am a fugit , but i ? ve got to clear my name alway look around me forev look back i ? ll alway be a target for attack ever move onward alway on the run wait for the sight of a load gun i am a fugit , be hunt down like game i am a fugit , but i ? ve got to clear my name i am a fugit , be hunt down like game i am a fugit , but i ? ve got to clear my name even if i find them and get to clear my name i know that thing can never be the same but if i ever prove my innoc some day i ? ve got to get them all to make them pay i am a fugit , be hunt down like game i am a fugit , but i ? ve got to clear my name i am a fugit , be hunt down like game i am a fugit , but i ? ve got to clear my name",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chains of Misery,"Dickinson, Murray",3:33,213,Fear of the Dark,3,"there a madman in the corner of your eye he like to pri - into your sunlight he want to burst into the street with you and i a world of shadow and of rain he seen what love is he want to pay you back with guilt he lie to you he won't let you be he got your chain of miseri he won't be still till he turn your key he hold your chain of miseri there a prophet in the gutter in the street he say "" you'r damn ! "" - and you believ him . . . he got a vision but it shine out through your eye a world of hatr and fear he felt what love mean he want to pay you back with pain it onli love that hold the key to our heart it onli love",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Apparition,"Harris, Gers",3:53,233,Fear of the Dark,3,"now i'm here can you see me ? ' cos i'm out on my own when the room goe cold tell me you can feel me ' cos i'm here here i am , can you see me pass through on my way to a place i'd been to onli in my dream . . . befor in a world of delus never turn your back on a friend ' cos you can count your real true friend on one hand . . . through life there are those that deceiv you there are those that'll let you down is there someon out there that would die for you . . . thought not live your life with a passion everyth you do , do well you onli get out of life what you put in . . . so they say in a world of confus peopl never say what they mean if you want a straight answer go look for one . . . right now in a room full of stranger do you stand with your back to the wall do you sometim feel like you'r on the outsid . . . look in ? you can make your own luck you creat your destini i believ you have the power if you want to . . . it true you can do what you want to if you tri a littl bit harder a littl bit of faith goe a long way . . . it doe are we here for a reason ? i'd like to know just what you think it would be nice to know what happen when we die . . . wouldn't it ? there are some who are wise there are some who are born naiv i believ that there are some that must have live befor . . . don't you ? as for me , well i'm think you gotta keep an open mind but i hope that my life not an open and shut case extrasensori percept life after death , telepathi can the soul live on and travel through space and time ? you know i feel so elat ' cos i'm about to find it out and when i know the answer mayb then i'll come back . . . to fill you in you don't be alarm now if i tri to contact you if thing go miss or get move around . . . it me and don't disbeliev it no matter what your "" friend "" might say we'll meet up again someplac some way one day",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Judas Be My Guide,"Dickinson, Murray",3:06,186,Fear of the Dark,3,light out - we live in a world of dark no doubt - everyth up for sale we sleep - all of the world is burn we pray - to god for a better deal noth is sacr - back then or now everyth wast . . . is that all there is ? can i go now ? juda my guid whisper in the night juda my guid fight war - die in a blaze of glori come home - meat in a plastic sack fall down - better pray to your god for merci so kneel - and help the blade cut clean noth is sacr - back then or now everyon wast . . . is that all there is ? is that it now ? i live in the black i have no guid light i'm whisper in your dream . . .,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weekend Warrior,"Harris, Gers",5:37,337,Fear of the Dark,3,"the rebel of yesterday , tomorrow fool who are you kid be that cool ? tri to break away from run with the pack but they ain't listen so you'v gotta go back you'r a weekend warrior when you'r one of the crowd but it over , just look at you now . . . you'r not so brave the way you behav it make you sick , gotta get out quick it all bravado when you'r out with your mate it like a differ person goe through those gate and the game begin the adrenalin high feel the tension mayb someon will die . . . a weekend warrior late a weekend warrior sometim a weekend warrior mayb you ain't that way anymor you'v gotta get out gotta get away but you'r in with a cliqu it not easi to stray you'v gotta admit you'r just live a lie it didn't take long to work out whi it hard to say whi you got involv just want to be part just want to belong . . . a weekend warrior late a weekend warrior sometim a weekend warrior mayb you ain't that way anymor some of the thing that you'v done you feel so asham after all it onli a game . . . isn't it ? and after all the adrenalin gone what you gonna do on monday ? a weekend warrior late a weekend warrior sometim a weekend warrior mayb you were never like that at all",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
